"Code","Name"
"2022.TW","聚亨"
"3474.TW","華亞科"
"8042.TWO","金山"
"9926.TW","新海瓦斯"
"2206.TW","三陽工業"
"4944.TWO","兆遠"
"3027.TW","盛達"
"8034.TWO","榮群"
"3078.TWO","僑威"
"8289.TWO","泰藝"
"1717.TW","長興化學"
"3086.TWO","華義"
"5493.TWO","三聯"
"6603.TWO","富強鑫"
"9914.TW","美利達"
"3050.TW","鈺德"
"1419.TW","新光紡織"
"1476.TW","儒鴻企業"
"1533.TW","車王電"
"8107.TWO","大億"
"911611.TW","中泰山"
"3434.TWO","哲固"
"2597.TW","潤弘精密"
"2801.TW","彰銀"
"4743.TWO","合一"
"2356.TW","英業達"
"6202.TW","盛群"
"3176.TWO","基亞"
"6247.TWO","淇譽"
"3005.TW","神基"
"1762.TW","中化合成"
"8088.TWO","品安"
"0060.TW","新台灣"
"5478.TWO","智冠"
"3105.TWO","穩懋"
"1626.TW","F-艾美"
"6145.TW","勁永"
"1326.TW","台灣化纖"
"6240.TWO","松崗"
"3562.TWO","頂晶"
"5309.TWO","系統"
"2492.TW","華新科"
"3287.TWO","廣寰"
"2606.TW","裕民"
"3071.TWO","協禧"
"6270.TWO","倍微"
"2722.TW","夏都"
"1108.TW","幸福水泥"
"6174.TWO","安碁"
"2504.TW","國產"
"8905.TWO","裕國"
"8935.TWO","邦泰"
"1442.TW","名軒"
"5520.TWO","力泰"
"8210.TW","勤誠興業"
"3234.TWO","光環"
"1715.TW","亞洲化學"
"5531.TW","鄉林建設"
"6188.TWO","廣明"
"2009.TW","第一伸銅"
"3533.TW","嘉澤"
"4129.TWO","聯合"
"2368.TW","金像"
"3579.TW","尚志"
"4153.TWO","鈺緯"
"5348.TWO","系通"
"1417.TW","嘉裕"
"1452.TW","宏益纖維"
"3218.TWO","大學光"
"1535.TW","中宇"
"2342.TW","茂矽"
"2528.TW","皇普"
"4526.TW","東台"
"8171.TWO","天宇"
"2480.TW","敦陽科"
"4712.TWO","南璋"
"8234.TWO","新漢"
"8048.TWO","德勝"
"1590.TW","F-亞德"
"3450.TW","聯鈞"
"1464.TW","得力"
"2413.TW","環科"
"3003.TW","健和興"
"2724.TWO","F-富驛"
"9157.TW","陽光能"
"910861.TW","神州"
"8435.TWO","鉅邁"
"3622.TW","洋華"
"3491.TWO","昇達"
"8427.TW","F-基勝"
"2516.TW","新建"
"3508.TWO","位速"
"3402.TWO","漢科"
"5439.TWO","高技"
"3312.TW","弘憶股"
"3037.TW","欣興"
"6108.TW","競國實業"
"5351.TWO","鈺創"
"8406.TWO","F-金可"
"1727.TW","中華化"
"1314.TW","中石化"
"4927.TWO","泰鼎"
"3545.TW","旭曜"
"2837.TW","萬泰銀行"
"5206.TWO","坤悅"
"2892.TW","第一金"
"1440.TW","台南紡織"
"2330.TW","台積電"
"6192.TW","巨路"
"3689.TWO","湧德"
"2032.TW","新鋼工業"
"1902.TW","台灣紙業"
"4912.TWO","F-聯德"
"6246.TWO","臺龍"
"2231.TW","為升"
"3015.TW","全漢"
"0050.TW","台灣50"
"5205.TWO","漢康"
"2423.TW","固緯"
"3290.TWO","東浦"
"6229.TWO","研通"
"4168.TWO","醣聯"
"9904.TW","寶成工業"
"8176.TWO","智捷"
"3531.TWO","先益"
"3060.TW","銘異"
"8087.TWO","華鎂鑫"
"2616.TW","山隆"
"3362.TWO","先進"
"3546.TWO","宇峻"
"3288.TWO","點晶"
"3049.TW","和鑫"
"2457.TW","飛宏"
"2010.TW","春源鋼鐵"
"8936.TWO","國統"
"9938.TW","百和"
"1474.TW","弘裕"
"8921.TWO","沈氏"
"2208.TW","台船公司"
"3691.TWO","碩禾"
"2401.TW","凌陽"
"4114.TWO","健喬"
"1616.TW","億泰電纜"
"6173.TWO","信昌電"
"6285.TW","啟碁"
"910069.TW","新曄"
"6156.TWO","松上"
"5906.TW","F-台南"
"3202.TWO","樺晟"
"3563.TWO","牧德"
"6241.TWO","易通展"
"3073.TWO","普格"
"8163.TW","達方電子"
"4527.TWO","方土霖"
"2926.TWO","誠品生"
"3094.TW","聯傑國際"
"6101.TWO","弘捷"
"6251.TW","定穎電子"
"2640.TWO","大車隊"
"9912.TW","偉聯科技"
"8047.TWO","星雲"
"5278.TWO","尚凡"
"5464.TWO","霖宏"
"8934.TWO","衡平"
"6216.TW","居易"
"9958.TW","世紀鋼"
"1101.TW","臺灣水泥"
"2312.TW","金寶"
"8349.TWO","友信"
"1531.TW","高林股"
"3332.TWO","幸康"
"4128.TWO","中天"
"6217.TWO","中探針"
"1720.TW","生達化學"
"8403.TWO","盛弘"
"2484.TW","希華"
"2707.TW","晶華酒店"
"5469.TW","瀚宇博德"
"3088.TWO","艾訊"
"1324.TW","地球"
"3030.TW","德律"
"2364.TW","倫飛"
"2506.TW","太設"
"2449.TW","京元電"
"3131.TWO","弘塑"
"2833.TW","台灣人壽"
"6153.TW","嘉聯益"
"3219.TWO","倚強"
"6245.TWO","立端"
"8418.TWO","F-必勝"
"3705.TW","永信"
"1604.TW","聲寶"
"3662.TWO","樂陞"
"3019.TW","亞洲光學"
"1589.TW","F-永冠"
"3494.TW","誠研"
"2472.TW","立隆電"
"2427.TW","三商電"
"8261.TW","富鼎先進"
"6131.TW","悠克"
"911868.TW","真明麗"
"1216.TW","統一企業"
"4958.TW","F-臻鼎"
"1439.TW","中和羊毛"
"910708.TW","新傳媒"
"3118.TWO","進階"
"6281.TW","全國電"
"4728.TWO","雙美"
"2906.TW","高林實業"
"8032.TWO","光菱"
"2880.TW","華南金"
"9934.TW","成霖"
"3289.TWO","宜特"
"3599.TW","旺能光電"
"3577.TWO","泓格"
"2020.TW","美亞"
"3356.TW","奇偶科技"
"2450.TW","神腦"
"6144.TWO","得利影"
"6165.TW","捷泰"
"2204.TW","中華汽車"
"1612.TW","宏泰電工"
"6187.TWO","萬潤"
"6016.TWO","康和證"
"1258.TWO","F-其祥"
"4113.TWO","聯上"
"2376.TW","技嘉"
"3042.TW","晶技"
"1312.TW","國喬石化"
"2030.TW","彰源"
"5388.TW","中磊"
"2890.TW","永豐金控"
"1904.TW","正隆"
"2823.TW","中國人壽"
"2460.TW","建通"
"1730.TW","花仙子"
"3518.TW","柏騰"
"6259.TWO","百徽"
"3052.TW","夆典"
"5536.TWO","聖暉"
"3017.TW","奇鋐"
"2101.TW","南港輪胎"
"2855.TW","統一證券"
"2614.TW","東森"
"4904.TW","遠傳"
"5392.TWO","應華"
"0052.TW","FB科技"
"3260.TWO","威剛"
"6171.TWO","亞銳士"
"2425.TW","承啟"
"6005.TW","群益證"
"4429.TWO","聚紡"
"8074.TWO","鉅橡"
"6189.TW","豐藝"
"1449.TW","佳和實業"
"9902.TW","台火開發"
"8933.TWO","愛地雅"
"2029.TW","盛餘"
"8271.TW","宇瞻"
"2354.TW","鴻準"
"2459.TW","敦吉"
"2543.TW","皇昌"
"3376.TW","新日興"
"1521.TW","大億"
"3089.TWO","展成"
"8147.TWO","正淩"
"4938.TW","和碩"
"1472.TW","三洋紡織"
"5508.TWO","永信"
"3189.TW","景碩"
"8374.TW","羅昇"
"5491.TWO","連展"
"6287.TWO","元隆"
"6214.TW","精誠"
"1437.TW","勤益"
"2889.TW","國票金"
"6244.TWO","茂迪"
"2388.TW","威盛"
"4528.TWO","江興"
"1788.TWO","杏昌"
"6803.TWO","崑鼎"
"5321.TWO","友銓"
"5364.TWO","易福"
"3040.TW","遠見"
"2867.TW","三商壽"
"2437.TW","旺詮"
"2007.TW","燁興"
"5263.TWO","智崴"
"6158.TWO","禾昌"
"4133.TW","亞諾法"
"6177.TW","達麗"
"8432.TWO","東生華"
"1707.TW","葡萄王"
"4513.TWO","福裕"
"3548.TWO","兆利"
"1460.TW","宏遠"
"6015.TWO","宏遠證"
"2482.TW","連宇"
"2415.TW","錩新"
"2845.TW","遠東商銀"
"5609.TWO","中菲行"
"4729.TWO","熒茂"
"8906.TWO","花王"
"8072.TW","陞泰科技"
"1259.TWO","安心"
"6186.TWO","新潤"
"6271.TW","同欣電子"
"2344.TW","華邦電"
"4413.TWO","飛寶"
"4127.TWO","天良"
"6155.TW","鈞寶電子"
"1729.TW","必翔"
"6143.TWO","振曜"
"4714.TWO","永捷"
"3232.TWO","昱捷"
"6226.TW","光鼎電子"
"3029.TW","零壹"
"3360.TWO","尚立"
"9924.TW","臺灣福興"
"5403.TWO","中菲"
"3438.TWO","類比"
"3527.TWO","聚積"
"3514.TW","昱晶能源"
"6505.TW","台塑化"
"5306.TWO","桂盟"
"5314.TWO","世紀"
"3624.TWO","光頡"
