"Code","Symbol","Industry","Board"
"IBS-B.ST","IBS AB","Unknown","Stockholm"
"TWW-SDB-A.ST","TRANSCOM WW -A- SDR","Unknown","Stockholm"
"BEO-SDB.ST","BEOWULF MIN SDB","Unknown","Stockholm"
"SDAB-B.ST","Seamless Distribution AB","Unknown","Stockholm"
"HIFA-B.ST","Hifab Group AB","Unknown","Stockholm"
"AFFS-B.ST","Affarsstrategerna","Unknown","Stockholm"
"GHP.ST","GLOB HEALTH PARTNER","Unknown","Stockholm"
"HOME-B.ST","HOMEMAID -B-","Unknown","Stockholm"
"BVT.ST","Biovitrum AB","Unknown","Stockholm"
"HQ.ST","HQ AB","Unknown","Stockholm"
"ELAN-B.ST","Elanders AB","Unknown","Stockholm"
"LUND-B.ST","Lundbergforetagen","Unknown","Stockholm"
"SKIS-B.ST","Skistar","Unknown","Stockholm"
"ALPH.ST","ALPHAHELIX MOLE DIA","Unknown","Stockholm"
"SCIR-B.ST","SCIROCCO -B-","Unknown","Stockholm"
"KWALB.ST","KINDWALLS BIL -B-","Unknown","Stockholm"
"MVIR-B.ST","Medivir AB","Unknown","Stockholm"
"PDXE.ST","Paradox Entertainment AB","Unknown","Stockholm"
"OFAB.ST","ONSKEFOTO","Unknown","Stockholm"
"TICK.ST","Ticket Travel Group AB","Unknown","Stockholm"
"VICP.ST","VICTORIA PARK","Unknown","Stockholm"
"TRAT-B.ST","TRACTECHNOLOGY -B-","Unknown","Stockholm"
"AVON.ST","AVONOVA SVERIGE","Unknown","Stockholm"
"ORC.ST","ORC Software AB","Unknown","Stockholm"
"VNV.ST","VITA NOVA VENTURES","Unknown","Stockholm"
"WESC.ST","WESC","Unknown","Stockholm"
"RTIM-B.ST","Rorvik Timber Ab","Unknown","Stockholm"
"ATEL.ST","ALLTELE ALLM SVENSK","Unknown","Stockholm"
"DIOS.ST","Dios Fastigheter AB","Unknown","Stockholm"
"FPAR.ST","Fast Partner Ab","Unknown","Stockholm"
"SVIK.ST","Studsvik AB","Unknown","Stockholm"
"BIO1-B.ST","BIOMETRON -B-","Unknown","Stockholm"
"CEVI.ST","CELLAVISION","Unknown","Stockholm"
"POOL-B.ST","Poolia AB","Unknown","Stockholm"
"AGIS.ST","AGELLIS GROUP","Unknown","Stockholm"
"INDT.ST","Indutrade Ab","Unknown","Stockholm"
"DUNI.ST","DUNI","Unknown","Stockholm"
"25318.ST","Dacke Group Nordic AB","Unknown","Stockholm"
"EMP-B.ST","EMPIRE","Unknown","Stockholm"
"SVOL-B.ST","Svolder AB","Unknown","Stockholm"
"FRAG-B.ST","FRAGUS GROUP -B-","Unknown","Stockholm"
"DURC-B.ST","Duroc AB","Unknown","Stockholm"
"LJGR-B.ST","Atrium Ljungberg AB","Unknown","Stockholm"
"LAGR-B.ST","Lagercrantz Group AB","Unknown","Stockholm"
"INRS-B.ST","INRIS MOBILE -B-","Unknown","Stockholm"
"ORTI-B.ST","Ortivus AB","Unknown","Stockholm"
"SRAB-B.ST","SRAB SHIP B","Unknown","Stockholm"
"CZON-BTA-B.ST","CRYPTZONE -B- I08","Unknown","Stockholm"
"TRAC-B.ST","Traction AB","Unknown","Stockholm"
"G5EN.ST","G5 ENTERTAINMENT","Unknown","Stockholm"
"SWEC-B.ST","SWECO -B-","Unknown","Stockholm"
"NOVU.ST","NOVUS GROUP INTL","Unknown","Stockholm"
"GENO.ST","GENOVIS","Unknown","Stockholm"
"CLA-B.ST","CLOETTA -B-","Unknown","Stockholm"
"49033.ST","DANNEMORA MINER -B-","Unknown","Stockholm"
"SECO-B.ST","Seco Tools AB","Unknown","Stockholm"
"LATO-B.ST","Investment Ab Latour","Unknown","Stockholm"
"ACAD-B.ST","AcadeMedia AB","Unknown","Stockholm"
"SIR.ST","Svensk Internetrekrytering AB","Unknown","Stockholm"
"DONE.ST","DONE MGT AND SYST A","Unknown","Stockholm"
"MIR.ST","MIRIS HOLDING","Unknown","Stockholm"
"PACT.ST","Proact It Group AB","Unknown","Stockholm"
"NOVE.ST","Novestra AB","Unknown","Stockholm"
"COIL-BTA.ST","SVENSKA CAP I08","Unknown","Stockholm"
"SAGA-PREF.ST","SAGAX","Unknown","Stockholm"
"BRIO-B.ST","Brio AB","Unknown","Stockholm"
"AVEG-B.ST","AVEGA GROUP -B-","Unknown","Stockholm"
"CTT.ST","Ctt Systems","Unknown","Stockholm"
"HMS.ST","HMS NETWORKS","Unknown","Stockholm"
"ACAP-B.ST","ACAP INVEST -B-","Unknown","Stockholm"
"PROB.ST","Probi Ab","Unknown","Stockholm"
"VBG-B.ST","VBG AB","Unknown","Stockholm"
"STRI-B.ST","1-618 STRICT -B-","Unknown","Stockholm"
"HOPR.ST","Home Properties AB","Unknown","Stockholm"
"VARY.ST","Varyag Resources AB","Unknown","Stockholm"
"MELK.ST","Melker Schorling AB","Unknown","Stockholm"
"KLIC-B.ST","KLICK DATA -B-","Unknown","Stockholm"
"ULYS.ST","ULYSS","Unknown","Stockholm"
"RCLN-B.ST","RAYCLINIC -B-","Unknown","Stockholm"
"WCSI.ST","WORLD CLASS INT","Unknown","Stockholm"
"VITR.ST","Vitrolife AB","Unknown","Stockholm"
"VALU.ST","VALUETREE HLDNGS","Unknown","Stockholm"
"NEXU.ST","Technology Nexus AB","Unknown","Stockholm"
"24H.ST","24H MOVIES SWEDEN","Unknown","Stockholm"
"REJL-B.ST","Rejlerkoncernen AB","Unknown","Stockholm"
"NVP.ST","NEUROVIVE PHARMA","Unknown","Stockholm"
"STE-A.ST","STORA ENSO -A-","Unknown","Stockholm"
"SECT-B.ST","Sectra AB","Unknown","Stockholm"
"DEVI.ST","DEVICOM","Unknown","Stockholm"
"DGC.ST","DGCONE","Unknown","Stockholm"
"CRAD-B.ST","C-RAD -B-","Unknown","Stockholm"
"SINT.ST","Sintercast AB","Unknown","Stockholm"
"COOL-B.ST","COOLGUARD -B-","Unknown","Stockholm"
"ODENB.ST","ODEN CONTROL -B-","Unknown","Stockholm"
"TP.ST","Travelpartner AB","Unknown","Stockholm"
"BONG.ST","Bong Ljungdahl AB","Unknown","Stockholm"
"PHON.ST","Phonera AB","Unknown","Stockholm"
"BRIN-B.ST","Brinova Fastigheter AB","Unknown","Stockholm"
"MPEN.ST","MEDICPEN","Unknown","Stockholm"
"IDL-B.ST","IDL BIOTECH -B-","Unknown","Stockholm"
"IPL.ST","Insplanet AB","Unknown","Stockholm"
"MEKO.ST","MEKONOMEN","Unknown","Stockholm"
"DORO.ST","Doro AB","Unknown","Stockholm"
"BAHN-B.ST","BAHNHOF -B-","Unknown","Stockholm"
"MEAB-B.ST","Malmbergs Elektriska","Unknown","Stockholm"
"ALOK-B.ST","ALLOKTON -B-","Unknown","Stockholm"
"DIBS.ST","DIBS PAYMENT SERV","Unknown","Stockholm"
"ADDT-B.ST","Addtech AB","Unknown","Stockholm"
"ICM.ST","ICM KUNGSHOLM","Unknown","Stockholm"
"TRTI.ST","TRETTI","Unknown","Stockholm"
"LEDS-B.ST","Ledstriernan","Unknown","Stockholm"
"ALME.ST","ALBIN METALS","Unknown","Stockholm"
"AMH2-B.ST","AMHULT 2 -B-","Unknown","Stockholm"
"SBC.ST","SBC Sveriges BostadsrattsCentrum AB","Unknown","Stockholm"
"NCAS-B.ST","NOVACAST -B-","Unknown","Stockholm"
"HEDS.ST","HEDSON TECH INTERNA","Unknown","Stockholm"
"NILG-B.ST","Nilorngruppen","Unknown","Stockholm"
"2ENT.ST","2Entertain AB","Unknown","Stockholm"
"MIDW-B.ST","Midway Holding","Unknown","Stockholm"
"LUVA.ST","Avensia Innovation AB","Unknown","Stockholm"
"DRIL.ST","Drillcon AB","Unknown","Stockholm"
"LMED.ST","LinkMed AB","Unknown","Stockholm"
"CONS-B.ST","Consilium AB","Unknown","Stockholm"
"CONPB.ST","CONPHARM -B-","Unknown","Stockholm"
"CLHO.ST","CARL LAMM HLDGN","Unknown","Stockholm"
"RES-B.ST","RESURS CNC","Unknown","Stockholm"
"HMED.ST","HANSA MEDICAL","Unknown","Stockholm"
"HL-B.ST","HL Display AB","Unknown","Stockholm"
"AUDV-B.ST","Audiodev Ab","Unknown","Stockholm"
"SWOL-B.ST","Swedol AB","Unknown","Stockholm"
"KABE-B.ST","Kabe Husvagnar","Unknown","Stockholm"
"SYSR.ST","SYSTEMAIR","Unknown","Stockholm"
"MAHL.ST","MAHLER INTERNATIONA","Unknown","Stockholm"
"XCG-B.ST","XTRACOM CONSUL -B-","Unknown","Stockholm"
"STRM-B.ST","STORMFAGELN -B-","Unknown","Stockholm"
"ELV.ST","ELVERKET VALLENTUNA","Unknown","Stockholm"
"TOWO.ST","TOWORK SVERIGE","Unknown","Stockholm"
"SJR-B.ST","SKA JOUR & REKR -B-","Unknown","Stockholm"
"DIAH.ST","DIADROM HOLDING","Unknown","Stockholm"
"SAFE.ST","SAFE AT SEA","Unknown","Stockholm"
"AQ.ST","AROS QUALITY GROUP","Unknown","Stockholm"
"INPH.ST","INNATE PHARMACEUTIC","Unknown","Stockholm"
"BTS-B.ST","Bts Groupe Ab","Unknown","Stockholm"
"BEIA-B.ST","Beijer Alma AB","Unknown","Stockholm"
"XRF-B.ST","XRF ANALYTICAL  -B-","Unknown","Stockholm"
"XPON.ST","Xponcard Group Ab","Unknown","Stockholm"
"WINT.ST","WEST INTERNATIONAL","Unknown","Stockholm"
"ACOM.ST","A Com","Unknown","Stockholm"
"55354.ST","TRYGGA HEM SKANDI","Unknown","Stockholm"
"NCC-A.ST","NCC AB","Unknown","Stockholm"
"FHEM-B.ST","FORSHEM GROUP -B-","Unknown","Stockholm"
"ICTA-B.ST","Intellecta Ab","Unknown","Stockholm"
"UTG.ST","UNL TRAVEL GROUP","Unknown","Stockholm"
"ENJO-B.ST","ENJOY GROUP -B-","Unknown","Stockholm"
"ADDV.ST","AddVise Inredning Skyddsven","Unknown","Stockholm"
"ANNE.ST","ANNEHEM FASTIGHETER","Unknown","Stockholm"
"3L.ST","3L SYSTEM","Unknown","Stockholm"
"HAV-B.ST","Havsfrun Investment AB","Unknown","Stockholm"
"NTEK-B.ST","Novotek AB","Unknown","Stockholm"
"DEFL-B.ST","DEFLAMO -B-","Unknown","Stockholm"
"BRG-B.ST","Bergs Timber AB","Unknown","Stockholm"
"GENI.ST","GENERIC SWEDEN","Unknown","Stockholm"
"EURO.ST","EUROCON CONSULTING","Unknown","Stockholm"
"CHER-B.ST","CHERRYFORETAGEN -B-","Unknown","Stockholm"
"SAEK.ST","Saki","Unknown","Stockholm"
"55332.ST","EWORK SCANDINAVIA","Unknown","Stockholm"
